Rank	Confidence	Ground	Label	Comments	Tuple
1	0.880633	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-50831)
2	0.880633	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-50832)
3	0.880633	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-50833)
4	0.880633	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-50834)
5	0.879714	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge_constrained-50749)
6	0.877171	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,copy-47072)
7	0.874828	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-51928)
8	0.874828	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-51930)
9	0.87144	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge_constrained-50757)
10	0.87144	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge_constrained-50762)
11	0.869207	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-50839)
12	0.869207	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-50840)
13	0.869207	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-50845)
14	0.869207	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-50846)
15	0.867871	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,compile_program-67551)
16	0.863486	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-52651)
17	0.863486	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-52671)
18	0.863486	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-52675)
19	0.863486	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-52676)
20	0.863486	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-52677)
21	0.860354	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_charset_aliases-33609)
22	0.858662	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-50825)
23	0.858662	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-50826)
24	0.8495	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_openfile-66295)
25	0.849206	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,execute_program-65724)
26	0.849206	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,execute_program-65725)
27	0.847867	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,compile_program-67506)
28	0.846043	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,parse_bracket_exp-44122)
29	0.84396	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,insert-48210)
30	0.83945	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,insert-47135)
31	0.83945	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,insert-47136)
32	0.83945	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,insert-47137)
33	0.83945	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,insert-47138)
34	0.837872	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,setup_replacement-66915)
35	0.837872	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,setup_replacement-66916)
36	0.831787	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,insert-48932)
37	0.822625	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,compile_program-67536)
38	0.820814	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,str_append-64579)
39	0.81807	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,parse_bracket_exp-43402)
40	0.815119	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,new_replacement-66867)
41	0.815119	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,new_replacement-66868)
42	0.815119	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,new_replacement-66869)
43	0.815119	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,new_replacement-66870)
44	0.809988	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,setbit-33830)
45	0.80595	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,normalize_text-68475)
46	0.80595	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,normalize_text-68486)
47	0.80595	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,normalize_text-68351)
48	0.80595	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,normalize_text-68352)
49	0.80595	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,normalize_text-68411)
50	0.80595	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,normalize_text-68412)
51	0.80595	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,normalize_text-68417)
52	0.80595	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,normalize_text-68418)
53	0.80595	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,normalize_text-68419)
54	0.80595	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,normalize_text-68420)
55	0.802395	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,epsclosure-52724)
56	0.802395	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,epsclosure-52725)
57	0.802395	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,epsclosure-52726)
58	0.802395	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,epsclosure-52727)
59	0.802395	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,epsclosure-52728)
60	0.802395	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,epsclosure-52729)
61	0.802395	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,epsclosure-52730)
62	0.802395	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,epsclosure-52731)
63	0.802395	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,epsclosure-52732)
64	0.802395	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,epsclosure-52733)
65	0.801089	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,compile_program-67154)
66	0.801089	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,compile_program-67155)
67	0.801089	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,compile_program-67156)
68	0.801089	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,compile_program-67157)
69	0.800688	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_buffer-60134)
70	0.800275	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,compile_program-67622)
71	0.798465	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,do_list-65354)
72	0.795692	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,free_buffer-63835)
73	0.794402	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,translate_mb-65604)
74	0.794301	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-52673)
75	0.794301	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-52674)
76	0.794301	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,setup_replacement-66875)
77	0.794301	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,setup_replacement-66876)
78	0.792743	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,insert-48930)
79	0.790439	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,copy-46362)
80	0.790439	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,copy-46364)
81	0.790439	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,copy-46365)
