Rank	Confidence	Ground	Label	Comments	Tuple
1	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13194,1297)
2	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13197,1297)
3	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13199,1297)
4	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13200,1297)
5	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13300,1297)
6	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13301,1297)
7	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13312,1297)
8	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13326,1332)
9	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13330,1332)
10	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13335,1317)
11	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13337,1354)
12	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13342,1332)
13	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13355,1321)
14	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13357,1332)
15	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13363,1322)
16	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13367,1347)
17	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13369,1332)
18	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13370,1332)
19	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13391,1329)
20	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13397,1)
21	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13402,1)
22	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13416,1)
23	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13418,1)
24	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13422,1)
25	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13423,1)
26	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13426,1)
27	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13427,1)
28	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13439,1)
29	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13440,1)
30	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13441,1)
31	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13469,1)
32	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13470,1345)
33	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13472,1345)
34	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13485,1345)
35	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13493,1345)
36	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13497,1345)
37	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13503,1345)
38	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13504,1345)
39	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13506,1345)
40	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13507,1345)
41	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13508,1345)
42	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13510,1345)
43	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13511,1345)
44	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13515,1317)
45	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13515,1348)
46	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13541,1329)
47	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13545,1329)
48	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13563,1347)
49	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13564,1329)
50	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13570,1348)
51	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13572,1354)
52	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13576,1329)
53	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13577,1318)
54	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13579,1318)
55	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13594,1329)
56	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13595,1321)
57	0.984469	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13595,1347)
58	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13597,1321)
59	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13599,1322)
60	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13605,1317)
61	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13609,1348)
62	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13610,1345)
63	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13615,1348)
64	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13618,1348)
65	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13620,1317)
66	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13620,1348)
67	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13626,1354)
68	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13632,1322)
69	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13640,1322)
70	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13649,1317)
71	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13713,1354)
72	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13716,1354)
73	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13718,1354)
74	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13727,1354)
75	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13737,1354)
76	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13743,1354)
77	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13744,1354)
78	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13745,1354)
79	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13749,1354)
80	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13753,1354)
81	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13757,1354)
82	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13761,1318)
83	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13762,1354)
84	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13764,1318)
85	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13765,1318)
86	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13766,1318)
87	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13767,1318)
